0.02	0.16
0.04	0.237647059
0.06	0.140392157
0.08	0.146184012
0.1	0.134901961
0.12	0.197176471
0.14	0.196342711
0.16	0.185882353
0.18	0.126558618
0.2	0.120915033
0.22	0.196578332
0.24	0.154060922
0.26	0.134126192
0.28	0.132647556
0.3	0.142585646
0.32	0.162851696
0.34	0.195483368
0.36	0.154687688
0.38	0.184512701
0.4	0.200037288
0.42	0.192531445
0.44	0.215826116
0.46	0.212056615
0.48	0.23292671
0.5	0.244234256
0.52	0.255721101
0.54	0.243254457
0.56	0.274179469
0.58	0.250662322
0.6	0.266286923
0.62	0.259293297
0.64	0.304375693
0.66	0.33004097
0.68	0.28963585
0.7	0.335377393
0.72	0.347572015
0.74	0.362895721
0.76	0.346761149
0.78	0.329495795
0.8	0.291077444
0.82	0.278477534
0.84	0.351257931
0.86	0.330456808
0.88	0.268683524
0.9	0.29570476
0.92	0.306586817
0.94	0.354957418
0.96	0.371351773
0.98	0.366057434
1	0.332305986
