0.02	1.14
0.04	1.06
0.06	1.28
0.08	1.24
0.1	1.04
0.12	1.22
0.14	1.62
0.16	1.06
0.18	1.46
0.2	1.28
0.22	1.54
0.24	3
0.26	2.82
0.28	3.62
0.3	3.94
0.32	4.72
0.34	6.2
0.36	5.6
0.38	6.16
0.4	6.7
0.42	8.36
0.44	8.84
0.46	9.42
0.48	10.26
0.5	11.42
0.52	11.02
0.54	10
0.56	12.68
0.58	11.56
0.6	13.02
0.62	12.82
0.64	13.72
0.66	14.44
0.68	14.34
0.7	14.92
0.72	16.2
0.74	17.04
0.76	16.44
0.78	15.88
0.8	14.62
0.82	14.36
0.84	16.84
0.86	16
0.88	13.98
0.9	15.28
0.92	15.36
0.94	17.18
0.96	17.56
0.98	17.3
1	16.24
